iter	Passed	Remaining
0	142	142395
1	145	72530
2	148	49202
3	150	37521
4	154	30661
5	156	25970
6	159	22625
7	162	20123
8	164	18167
9	167	16610
10	170	15326
11	173	14266
12	176	13370
13	178	12596
14	181	11942
15	184	11359
16	187	10837
17	190	10373
18	192	9954
19	196	9620
20	199	9282
21	201	8969
22	204	8687
23	207	8424
24	210	8213
25	215	8064
26	219	7914
27	223	7743
28	227	7612
29	232	7523
30	236	7380
31	241	7300
32	245	7195
33	250	7113
34	255	7052
35	259	6943
36	262	6836
37	266	6742
38	269	6648
39	273	6552
40	276	6460
41	279	6371
42	283	6303
43	286	6214
44	288	6130
45	291	6042
46	293	5946
47	295	5853
48	297	5764
49	298	5679
50	300	5589
51	301	5501
52	303	5416
53	304	5334
54	305	5255
55	307	5178
56	308	5105
57	309	5029
58	310	4957
59	311	4886
60	312	4817
61	314	4751
62	315	4686
63	316	4621
64	317	4560
65	317	4499
66	318	4441
67	319	4384
68	320	4329
69	322	4288
70	324	4247
71	326	4207
72	327	4163
73	328	4114
74	329	4066
75	330	4019
76	331	3973
77	332	3929
78	333	3885
79	334	3842
80	335	3802
81	336	3762
82	336	3718
83	337	3679
84	338	3641
85	339	3604
86	340	3568
87	340	3532
88	341	3498
89	342	3464
90	343	3430
91	344	3399
92	345	3367
93	346	3336
94	347	3306
95	347	3276
96	349	3249
97	350	3221
98	350	3192
99	351	3165
100	352	3138
101	353	3112
102	354	3086
103	355	3060
104	356	3035
105	356	3010
106	357	2986
107	358	2963
108	359	2939
109	360	2917
110	361	2894
111	362	2872
112	363	2852
113	364	2831
114	365	2810
115	366	2789
116	366	2767
117	367	2747
118	368	2727
119	369	2707
120	370	2688
121	370	2668
122	371	2650
123	372	2632
124	373	2614
125	374	2596
126	375	2578
127	375	2560
128	376	2544
129	377	2529
130	378	2512
131	379	2496
132	380	2480
133	381	2464
134	382	2449
135	383	2434
136	383	2418
137	384	2404
138	385	2390
139	386	2377
140	388	2364
141	388	2348
142	389	2334
143	390	2320
144	391	2308
145	392	2295
146	393	2281
147	394	2268
148	395	2256
149	395	2243
150	396	2230
151	397	2218
152	398	2206
153	399	2193
154	400	2181
155	401	2170
156	402	2158
157	402	2147
158	403	2135
159	404	2124
160	405	2112
161	406	2101
162	407	2090
163	408	2080
164	408	2069
165	409	2058
166	410	2048
167	411	2038
168	412	2027
169	413	2017
170	414	2007
171	414	1997
172	415	1988
173	416	1978
174	417	1968
175	418	1959
176	419	1951
177	420	1941
178	421	1932
179	422	1923
180	423	1914
181	424	1905
182	424	1896
183	425	1888
184	426	1879
185	427	1870
186	428	1862
187	429	1853
188	430	1845
189	430	1837
190	431	1829
191	432	1821
192	433	1814
193	434	1806
194	435	1798
195	436	1790
196	437	1782
197	438	1774
198	439	1767
199	439	1759
200	440	1752
201	441	1744
202	442	1737
203	443	1730
204	444	1723
205	445	1716
206	446	1708
207	446	1701
208	448	1695
209	449	1690
210	450	1685
211	451	1679
212	452	1672
213	453	1665
214	454	1658
215	455	1651
216	455	1645
217	456	1638
218	457	1631
219	458	1625
220	459	1619
221	460	1612
222	461	1606
223	462	1601
224	463	1595
225	463	1589
226	464	1582
227	465	1576
228	466	1570
229	467	1564
230	468	1558
231	469	1553
232	470	1547
233	470	1541
234	471	1535
235	472	1529
236	473	1524
237	474	1518
238	475	1513
239	476	1509
240	477	1503
241	478	1498
242	479	1492
243	480	1487
244	480	1482
245	481	1476
246	482	1471
247	483	1466
248	484	1460
249	485	1455
250	486	1450
251	486	1445
252	487	1440
253	488	1434
254	489	1429
255	490	1426
256	491	1421
257	492	1416
258	493	1412
259	494	1407
260	495	1402
261	496	1397
262	497	1393
263	498	1388
264	498	1383
265	499	1379
266	500	1374
267	501	1369
268	502	1365
269	503	1360
270	504	1356
271	505	1351
272	505	1347
273	506	1342
274	507	1338
275	508	1333
276	509	1329
277	510	1324
278	511	1320
279	512	1316
280	513	1312
281	513	1308
282	514	1304
283	515	1299
284	516	1295
285	517	1292
286	518	1288
287	519	1284
288	520	1280
289	521	1276
290	522	1272
291	523	1268
292	523	1264
293	524	1260
294	525	1256
295	526	1252
296	527	1248
297	528	1244
298	529	1240
299	530	1236
300	530	1232
301	532	1231
302	533	1227
303	534	1223
304	535	1219
305	536	1216
306	537	1212
307	537	1208
308	538	1204
309	539	1200
310	540	1197
311	541	1193
312	542	1190
313	543	1186
314	543	1182
315	544	1179
316	545	1176
317	546	1172
318	547	1169
319	548	1165
320	549	1161
321	550	1158
322	551	1155
323	551	1151
324	552	1148
325	553	1144
326	554	1141
327	555	1138
328	556	1134
329	557	1131
330	558	1127
331	558	1124
332	559	1121
333	560	1118
334	561	1115
335	562	1111
336	563	1108
337	564	1105
338	565	1101
339	566	1098
340	566	1095
341	567	1092
342	568	1089
343	569	1086
344	570	1082
345	571	1079
346	572	1076
347	572	1073
348	574	1070
349	575	1068
350	575	1064
351	576	1061
352	577	1058
353	578	1055
354	579	1052
355	580	1049
356	580	1046
357	581	1043
358	582	1040
359	583	1037
360	584	1034
361	585	1031
362	586	1028
363	587	1025
364	588	1023
365	589	1020
366	590	1017
367	590	1014
368	591	1012
369	592	1009
370	593	1006
371	594	1003
372	595	1000
373	596	997
374	596	994
375	597	992
376	598	989
377	599	986
378	600	983
379	601	980
380	602	978
381	603	975
382	604	973
383	604	970
384	605	967
385	606	964
386	607	962
387	608	959
388	609	956
389	610	954
390	610	951
391	611	948
392	612	946
393	613	943
394	614	940
395	615	938
396	616	935
397	617	933
398	617	930
399	618	928
400	619	925
401	620	923
402	621	920
403	622	918
404	623	915
405	623	912
406	624	910
407	625	907
408	626	905
409	627	902
410	628	900
411	628	897
412	629	895
413	630	892
414	631	890
415	632	888
416	633	885
417	634	883
418	635	880
419	635	878
420	636	875
421	637	873
422	638	871
423	639	868
424	640	866
425	641	863
426	641	861
427	642	859
428	643	856
429	645	855
430	645	852
431	646	850
432	647	848
433	648	845
434	649	843
435	650	841
436	651	838
437	652	836
438	652	834
439	653	831
440	654	829
441	655	827
442	656	825
443	657	822
444	658	820
445	658	818
446	659	816
447	660	814
448	661	811
449	662	809
450	663	807
451	664	805
452	665	802
453	665	800
454	666	798
455	667	796
456	668	794
457	669	792
458	670	789
459	671	787
460	671	785
461	672	783
462	674	782
463	676	781
464	677	779
465	678	777
466	679	775
467	680	773
468	681	771
469	682	769
470	682	767
471	683	764
472	684	762
473	685	760
474	686	758
475	687	756
476	688	754
477	689	752
478	690	750
479	690	748
480	691	746
481	692	744
482	693	742
483	694	740
484	695	738
485	696	736
486	697	734
487	698	732
488	698	730
489	699	728
490	700	726
491	701	724
492	702	722
493	703	720
494	704	718
495	705	716
496	706	714
497	706	712
498	707	710
499	708	708
500	709	706
501	710	704
502	711	702
503	712	700
504	712	698
505	713	696
506	714	694
507	715	693
508	716	691
509	717	689
510	718	687
511	719	685
512	719	683
513	720	681
514	721	679
515	722	677
516	723	675
517	724	673
518	724	671
519	725	669
520	726	668
521	727	666
522	728	664
523	729	662
524	730	660
525	731	658
526	732	657
527	732	655
528	733	653
529	734	651
530	735	649
531	736	647
532	737	645
533	738	644
534	738	642
535	739	640
536	740	638
537	741	636
538	742	634
539	743	633
540	744	631
541	745	629
542	746	627
543	747	626
544	747	624
545	748	622
546	749	620
547	750	619
548	751	617
549	752	615
550	753	613
551	754	612
552	754	610
553	755	608
554	756	606
555	757	605
556	758	603
557	759	601
558	760	599
559	761	598
560	762	596
561	763	594
562	763	592
563	764	591
564	765	589
565	766	587
566	767	585
567	768	584
568	768	582
569	769	580
570	770	579
571	771	577
572	773	576
573	774	574
574	775	572
575	775	571
576	776	569
577	777	567
578	778	566
579	779	564
580	780	562
581	781	561
582	782	559
583	783	557
584	783	556
585	784	554
586	785	552
587	786	551
588	787	549
589	788	548
590	789	546
591	790	544
592	791	543
593	792	541
594	792	539
595	793	538
596	794	536
597	795	534
598	796	533
599	797	531
600	798	529
601	798	528
602	800	527
603	801	525
604	803	524
605	804	522
606	805	521
607	805	519
608	806	517
609	807	516
610	808	514
611	809	513
612	810	511
613	810	509
614	811	508
615	812	506
616	813	505
617	814	503
618	815	501
619	816	500
620	817	498
621	818	497
622	818	495
623	819	493
624	820	492
625	821	490
626	822	489
627	823	487
628	824	486
629	824	484
630	825	482
631	826	481
632	827	479
633	828	478
634	829	476
635	830	475
636	831	473
637	833	472
638	834	471
639	835	469
640	836	468
641	837	466
642	837	465
643	838	463
644	839	462
645	840	460
646	841	459
647	843	458
648	844	456
649	845	455
650	846	453
651	846	452
652	847	450
653	848	448
654	849	447
655	850	445
656	851	444
657	852	442
658	852	441
659	853	439
660	854	438
661	855	436
662	856	435
663	857	434
664	858	432
665	859	431
666	860	429
667	861	428
668	862	426
669	863	425
670	863	423
671	864	422
672	865	420
673	866	419
674	867	417
675	868	416
676	869	414
677	871	413
678	872	412
679	873	410
680	873	409
681	874	407
682	875	406
683	876	404
684	877	403
685	878	401
686	879	400
687	880	399
688	880	397
689	881	396
690	882	394
691	883	393
692	884	391
693	885	390
694	886	388
695	887	387
696	888	386
697	888	384
698	889	383
699	890	381
700	891	380
701	892	378
702	893	377
703	894	375
704	894	374
705	895	373
706	896	371
707	897	370
708	898	368
709	899	367
710	900	365
711	901	364
712	901	363
713	902	361
714	903	360
715	904	358
716	905	357
717	906	355
718	907	354
719	907	353
720	908	351
721	909	350
722	910	348
723	911	347
724	912	346
725	913	344
726	914	343
727	915	341
728	915	340
729	916	339
730	917	337
731	918	336
732	919	334
733	920	333
734	921	332
735	921	330
736	922	329
737	923	327
738	924	326
739	925	325
740	926	323
741	927	322
742	928	321
743	929	319
744	930	318
745	931	317
746	932	315
747	932	314
748	933	312
749	934	311
750	935	310
751	936	308
752	937	307
753	938	306
754	938	304
755	939	303
756	940	302
757	942	300
758	943	299
759	944	298
760	945	297
761	946	295
762	947	294
763	948	292
764	949	291
765	950	290
766	951	288
767	951	287
768	952	286
769	953	284
770	954	283
771	955	282
772	956	280
773	957	279
774	958	278
775	958	276
776	959	275
777	960	274
778	961	272
779	962	271
780	963	270
781	964	268
782	964	267
783	965	266
784	966	264
785	967	263
786	968	262
787	970	260
788	970	259
789	971	258
790	972	256
791	973	255
792	974	254
793	975	253
794	976	251
795	977	250
796	977	249
797	978	247
798	979	246
799	980	245
800	981	243
801	982	242
802	983	241
803	984	240
804	985	238
805	986	237
806	987	236
807	988	234
808	988	233
809	989	232
810	990	230
811	991	229
812	992	228
813	993	226
814	994	225
815	994	224
816	995	223
817	996	221
818	997	220
819	998	219
820	999	217
821	1000	216
822	1001	215
823	1002	214
824	1003	212
825	1003	211
826	1004	210
827	1005	208
828	1006	207
829	1007	206
830	1008	205
831	1009	203
832	1010	202
833	1010	201
834	1011	199
835	1012	198
836	1013	197
837	1014	196
838	1015	194
839	1016	193
840	1017	192
841	1018	191
842	1018	189
843	1019	188
844	1020	187
845	1021	185
846	1022	184
847	1023	183
848	1024	182
849	1026	181
850	1027	179
851	1029	178
852	1029	177
853	1030	176
854	1031	174
855	1032	173
856	1033	172
857	1034	171
858	1035	169
859	1035	168
860	1036	167
861	1037	166
862	1039	164
863	1040	163
864	1040	162
865	1041	161
866	1042	159
867	1043	158
868	1044	157
869	1045	156
870	1046	154
871	1046	153
872	1047	152
873	1048	151
874	1049	149
875	1050	148
876	1051	147
877	1052	146
878	1053	144
879	1053	143
880	1054	142
881	1055	141
882	1056	140
883	1057	138
884	1058	137
885	1059	136
886	1060	135
887	1060	133
888	1061	132
889	1062	131
890	1063	130
891	1064	128
892	1065	127
893	1066	126
894	1067	125
895	1068	123
896	1069	122
897	1069	121
898	1070	120
899	1071	119
900	1072	117
901	1073	116
902	1074	115
903	1075	114
904	1075	112
905	1076	111
906	1077	110
907	1078	109
908	1079	108
909	1080	106
910	1081	105
911	1082	104
912	1083	103
913	1083	101
914	1084	100
915	1085	99
916	1086	98
917	1087	97
918	1088	95
919	1088	94
920	1089	93
921	1090	92
922	1091	91
923	1092	89
924	1093	88
925	1094	87
926	1095	86
927	1095	85
928	1096	83
929	1097	82
930	1098	81
931	1099	80
932	1100	79
933	1101	77
934	1102	76
935	1102	75
936	1103	74
937	1104	73
938	1105	71
939	1106	70
940	1107	69
941	1108	68
942	1109	67
943	1110	65
944	1110	64
945	1111	63
946	1112	62
947	1113	61
948	1114	59
949	1115	58
950	1116	57
951	1116	56
952	1117	55
953	1118	53
954	1119	52
955	1120	51
956	1121	50
957	1122	49
958	1123	48
959	1123	46
960	1124	45
961	1125	44
962	1126	43
963	1127	42
964	1128	40
965	1129	39
966	1129	38
967	1130	37
968	1131	36
969	1132	35
970	1133	33
971	1134	32
972	1135	31
973	1135	30
974	1137	29
975	1137	27
976	1138	26
977	1139	25
978	1140	24
979	1141	23
980	1142	22
981	1143	20
982	1143	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1151	10
991	1153	9
992	1154	8
993	1155	6
994	1156	5
995	1157	4
996	1158	3
997	1158	2
998	1159	1
999	1160	0
